Image ID,Color Option ID,Image URL
1,1,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20241/7080120/v1/l_20241-s4gl26z8-lra-84-58-91-177_a.jpg
2,1,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20241/7080120/v1/l_20241-s4gl26z8-lra-84-58-91-177_a1.jpg
3,1,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20241/7080120/v1/l_20241-s4gl26z8-lra-84-58-91-177_a2.jpg
4,1,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20241/7080120/v1/l_20241-s4gl26z8-lra-84-58-91-177_a3.jpg
5,1,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20241/7080120/v1/l_20241-s4gl26z8-lra-84-58-91-177_a4.jpg
6,1,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20241/7080120/v1/l_20241-s4gl26z8-lra_u.jpg
7,1,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20241/7080120/v1/l_20241-s4gl26z8-lra_u1.jpg
8,2,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20241/7051003/v1/l_20241-s4g219z8-lu7-81-59-89-179_a.jpg
9,2,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20241/7051003/v1/l_20241-s4g219z8-lu7-81-59-89-179_a1.jpg
10,2,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20241/7051003/v1/l_20241-s4g219z8-lu7-81-59-89-179_a2.jpg
11,2,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20241/7051003/v1/l_20241-s4g219z8-lu7-81-59-89-179_a3.jpg
12,2,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20241/7051003/v1/l_20241-s4g219z8-lu7-81-59-89-179_a4.jpg
13,2,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20241/7051003/v1/l_20241-s4g219z8-lu7_u.jpg
